# For array of size 100000
# Using Shell Sort
# Total number of iterations = 17
# Total number of swaps = 20750386
# Iteration | Segments | Swaps
   1      65536      17236
   2      32768      17562
   3      16384      38259
   4       8192      55709
   5       4096      78350
   6       2048     107211
   7       1024     152645
   8        512     220229
   9        256     310765
  10        128     425564
  11         64     657542
  12         32     860052
  13         16    1271892
  14          8    1666816
  15          4    2554169
  16          2    4126619
  17          1    8189766
